guid,localTime,created,updated,status,attachedUser,path,apiTarget,actionTarget,success,resultDescription
1d0d5583-c8c6-48c0-8c24-cff1106bfa98,2021-03-05 10-16-10,637505361706004166,637505361706004166,dev,aef14f62-9eb8-4c02-b642-e5faafe30f95,dev,api_addnewapplication_aspx,AWS add item,true,default
cd03e70d-cc98-4e01-95ca-248cbe49d64b,2021-03-05 11-58-28,637505423087154849,637505423087154849,production,d1b88c27-36ca-4cbf-abf8-a830d7f1f968,production,api_onapplicationvalidatingwithtoken_aspx,application activate with token, token expired,false,{"guid":"d3b402c9-a74a-4ae3-b386-7fa144f89d76","created":"637504763446540730","updated":"637504771246372002","status":"production","appName":"BigBox","appDescription":"BigBox Evaluation","appPlatform":"Standalone","appIdentifer":"com.darkspede.bigbox","appDomain":"darkspede.space","developerName":"Darkspede Pty Ltd.","developerUrl":"https://darkspede.com","developerEmail":"info@darkspede.com","developmentGroup":"dev","version":"1.2","updateMessage":"already latest update","redirectUrl":"https://darkspede.space","apiKey":"d1b88c27-36ca-4cbf-abf8-a830d7f1f968","appKey":"default","appToken":"default","appStatus":"active","appTokenExpire":"638712000000000000","appNextCheck":"637503789773656860","publisherName":"Darkspede","publishUrl":"https://darkspede.com","publishEmail":"info@darkspede.com","clientName":"Darkspede","clientID":"com.darkspede","clientPostcode":"3051","clientEmail":"info@darkspede.com","accessEndPoint":"27.32.225.150\n","attachedUser":"default"}
1efb79bf-d85f-45f5-9ea5-6c9236d206d0,2021-03-05 12-36-03,637505445632380099,637505445632380099,production,d1b88c27-36ca-4cbf-abf8-a830d7f1f968,production,api_onapplicationvalidatingwithtoken_aspx,application activate with token, add new key register,false,{"guid":"037c1607-099b-4e10-9d91-5d54367801b7","created":"637505445631368356","updated":"637505445631368356","status":"production","appName":"BigBox","appDescription":"BigBox Evaluation","appPlatform":"Standalone","appIdentifer":"com.darkspede.bigbox","appDomain":"default","developerName":"Darkspede Pty Ltd.","developerUrl":"https://darkspede.com","developerEmail":"info@darkspede.com","developmentGroup":"dev","version":"1.2","updateMessage":"default","redirectUrl":"default","apiKey":"d1b88c27-36ca-4cbf-abf8-a830d7f1f968","appKey":"default","appToken":"default","appStatus":"deactive","appTokenExpire":"637504581607978610","appNextCheck":"637504581607978610","publisherName":"default","publishUrl":"default","publishEmail":"default","clientName":"default","clientID":"default","clientPostcode":"default","clientEmail":"default","accessEndPoint":"27.32.225.150\n","attachedUser":"default"}
957cdcbd-43d3-456a-95d9-3f1f804be54f,2021-03-05 12-41-05,637505448655664811,637505448655664811,production,d1b88c27-36ca-4cbf-abf8-a830d7f1f968,production,api_onapplicationvalidatingwithtoken_aspx,application activate with token, add new key register,false,{"guid":"e3475f71-fa34-441b-99b9-646500eba998","created":"637505448655393046","updated":"637505448655393046","status":"production","appName":"BigBox","appDescription":"BigBox Evaluation","appPlatform":"Standalone","appIdentifer":"com.darkspede.bigbox","appDomain":"default","developerName":"Darkspede Pty Ltd.","developerUrl":"https://darkspede.com","developerEmail":"info@darkspede.com","developmentGroup":"dev","version":"1.2","updateMessage":"default","redirectUrl":"default","apiKey":"d1b88c27-36ca-4cbf-abf8-a830d7f1f968","appKey":"default","appToken":"default","appStatus":"deactive","appTokenExpire":"637504584641820556","appNextCheck":"637504584641820556","publisherName":"default","publishUrl":"default","publishEmail":"default","clientName":"default","clientID":"default","clientPostcode":"default","clientEmail":"default","accessEndPoint":"27.32.225.150\n","attachedUser":"default"}
f76d337a-d17d-4d91-a25e-bde4552c0759,2021-03-05 12-41-09,637505448692484145,637505448692484145,production,d1b88c27-36ca-4cbf-abf8-a830d7f1f968,production,api_onapplicationvalidatingwithkey_aspx,application activate with key, key not find,false,{"guid":"e3475f71-fa34-441b-99b9-646500eba998","created":"637505448641820556","updated":"637505448641820556","status":"production","appName":"BigBox","appDescription":"BigBox Evaluation","appPlatform":"Standalone","appIdentifer":"com.darkspede.bigbox","appDomain":"default","developerName":"Darkspede Pty Ltd.","developerUrl":"https://darkspede.com","developerEmail":"info@darkspede.com","developmentGroup":"dev","version":"1.2","updateMessage":"default","redirectUrl":"default","apiKey":"d1b88c27-36ca-4cbf-abf8-a830d7f1f968","appKey":"d1b88c27-36ca-4cbf-abf8-a830d7f1f968","appToken":"default","appStatus":"deactive","appTokenExpire":"637504584641820556","appNextCheck":"637504584641820556","publisherName":"default","publishUrl":"default","publishEmail":"default","clientName":"default","clientID":"default","clientPostcode":"default","clientEmail":"default","accessEndPoint":"27.32.225.150\n","attachedUser":"default"}
fb3748fc-62f0-4165-8a38-0f92442405c4,2021-03-05 12-41-58,637505449187308736,637505449187308736,production,d1b88c27-36ca-4cbf-abf8-a830d7f1f968,production,api_onapplicationvalidatingwithtoken_aspx,application activate with token, add new key register,false,{"guid":"ef890a52-52d9-4b73-867f-f0d027f4b2fb","created":"637505449187060983","updated":"637505449187060983","status":"production","appName":"BigBox","appDescription":"BigBox Evaluation","appPlatform":"Standalone","appIdentifer":"com.darkspede.bigbox","appDomain":"default","developerName":"Darkspede Pty Ltd.","developerUrl":"https://darkspede.com","developerEmail":"info@darkspede.com","developmentGroup":"dev","version":"1.2","updateMessage":"default","redirectUrl":"default","apiKey":"d1b88c27-36ca-4cbf-abf8-a830d7f1f968","appKey":"default","appToken":"default","appStatus":"deactive","appTokenExpire":"637504585175489740","appNextCheck":"637504585175489740","publisherName":"default","publishUrl":"default","publishEmail":"default","clientName":"default","clientID":"default","clientPostcode":"default","clientEmail":"default","accessEndPoint":"27.32.225.150\n","attachedUser":"default"}
521af37d-1e7c-44f9-aa50-86066ab66b12,2021-03-05 12-42-32,637505449522356443,637505449522356443,production,d1b88c27-36ca-4cbf-abf8-a830d7f1f968,production,api_onapplicationvalidatingwithtoken_aspx,application activate with token, add new key register,false,{"guid":"39bce9ab-a9a5-4fe9-ac78-7d4c05aa713c","created":"637505449522105840","updated":"637505449522105840","status":"production","appName":"BigBox","appDescription":"BigBox Evaluation","appPlatform":"Standalone","appIdentifer":"com.darkspede.bigbox","appDomain":"default","developerName":"Darkspede Pty Ltd.","developerUrl":"https://darkspede.com","developerEmail":"info@darkspede.com","developmentGroup":"dev","version":"1.2","updateMessage":"default","redirectUrl":"default","apiKey":"d1b88c27-36ca-4cbf-abf8-a830d7f1f968","appKey":"default","appToken":"default","appStatus":"deactive","appTokenExpire":"637504585510542770","appNextCheck":"637504585510542770","publisherName":"default","publishUrl":"default","publishEmail":"default","clientName":"default","clientID":"default","clientPostcode":"default","clientEmail":"default","accessEndPoint":"27.32.225.150\n","attachedUser":"default"}
61978e01-00ee-48a4-b999-8336dd04433c,2021-03-05 12-46-24,637505451842900529,637505451842900529,production,d1b88c27-36ca-4cbf-abf8-a830d7f1f968,production,api_onapplicationvalidatingwithtoken_aspx,application activate with token, add new key register,false,{"guid":"39bce9ab-a9a5-4fe9-ac78-7d4c05aa713c","created":"637505451842668099","updated":"637505451842668099","status":"production","appName":"BigBox","appDescription":"BigBox Evaluation","appPlatform":"Standalone","appIdentifer":"com.darkspede.bigbox","appDomain":"default","developerName":"Darkspede Pty Ltd.","developerUrl":"https://darkspede.com","developerEmail":"info@darkspede.com","developmentGroup":"dev","version":"1.2","updateMessage":"default","redirectUrl":"default","apiKey":"d1b88c27-36ca-4cbf-abf8-a830d7f1f968","appKey":"default","appToken":"default","appStatus":"deactive","appTokenExpire":"637504585510542770","appNextCheck":"637504585510542770","publisherName":"default","publishUrl":"default","publishEmail":"default","clientName":"default","clientID":"default","clientPostcode":"default","clientEmail":"default","accessEndPoint":"27.32.225.150\n","attachedUser":"default"}
8c1dd9ce-7de8-42f6-b521-39d18ac1fdc9,2021-03-05 12-48-30,637505453106817509,637505453106817509,production,d1b88c27-36ca-4cbf-abf8-a830d7f1f968,production,api_onapplicationvalidatingwithtoken_aspx,application activate with token, token expired,false,{"guid":"39bce9ab-a9a5-4fe9-ac78-7d4c05aa713c","created":"637505449510542770","updated":"637505449510542770","status":"production","appName":"BigBox","appDescription":"BigBox Evaluation","appPlatform":"Standalone","appIdentifer":"com.darkspede.bigbox","appDomain":"default","developerName":"Darkspede Pty Ltd.","developerUrl":"https://darkspede.com","developerEmail":"info@darkspede.com","developmentGroup":"dev","version":"1.2","updateMessage":"default","redirectUrl":"default","apiKey":"d1b88c27-36ca-4cbf-abf8-a830d7f1f968","appKey":"default","appToken":"default","appStatus":"deactive","appTokenExpire":"637504585510542770","appNextCheck":"637504585510542770","publisherName":"default","publishUrl":"default","publishEmail":"default","clientName":"default","clientID":"default","clientPostcode":"default","clientEmail":"default","accessEndPoint":"27.32.225.150\n","attachedUser":"default"}
3aa19d87-aa29-4fe5-8ce8-154bbe787881,2021-03-05 12-48-33,637505453133076883,637505453133076883,production,d1b88c27-36ca-4cbf-abf8-a830d7f1f968,production,api_onapplicationvalidatingwithkey_aspx,application activate with key, key not find,false,{"guid":"39bce9ab-a9a5-4fe9-ac78-7d4c05aa713c","created":"637505449510542770","updated":"637505449510542770","status":"production","appName":"BigBox","appDescription":"BigBox Evaluation","appPlatform":"Standalone","appIdentifer":"com.darkspede.bigbox","appDomain":"default","developerName":"Darkspede Pty Ltd.","developerUrl":"https://darkspede.com","developerEmail":"info@darkspede.com","developmentGroup":"dev","version":"1.2","updateMessage":"default","redirectUrl":"default","apiKey":"d1b88c27-36ca-4cbf-abf8-a830d7f1f968","appKey":"adada","appToken":"default","appStatus":"deactive","appTokenExpire":"637504585510542770","appNextCheck":"637504585510542770","publisherName":"default","publishUrl":"default","publishEmail":"default","clientName":"default","clientID":"default","clientPostcode":"default","clientEmail":"default","accessEndPoint":"27.32.225.150\n","attachedUser":"default"}
43ad622e-b1f0-4bfd-ac1e-c90f1666d119,2021-03-05 12-49-10,637505453505400004,637505453505400004,production,d1b88c27-36ca-4cbf-abf8-a830d7f1f968,production,api_onapplicationvalidatingwithtoken_aspx,application activate with token, token expired,false,{"guid":"39bce9ab-a9a5-4fe9-ac78-7d4c05aa713c","created":"637505449510542770","updated":"637505449510542770","status":"production","appName":"BigBox","appDescription":"BigBox Evaluation","appPlatform":"Standalone","appIdentifer":"com.darkspede.bigbox","appDomain":"default","developerName":"Darkspede Pty Ltd.","developerUrl":"https://darkspede.com","developerEmail":"info@darkspede.com","developmentGroup":"dev","version":"1.2","updateMessage":"default","redirectUrl":"default","apiKey":"d1b88c27-36ca-4cbf-abf8-a830d7f1f968","appKey":"default","appToken":"default","appStatus":"deactive","appTokenExpire":"637504585510542770","appNextCheck":"637504585510542770","publisherName":"default","publishUrl":"default","publishEmail":"default","clientName":"default","clientID":"default","clientPostcode":"default","clientEmail":"default","accessEndPoint":"27.32.225.150\n","attachedUser":"default"}
